Model,Raiting,RD,player,nickname
o3-mini,1823.3727957975725,274.9474161597,o,J20
o1-mini,1780.3774760932604,273.9619118551544,x,J19
google/gemini-exp-1206:free,1780.2703786002776,273.3526008291638,o,J15
google/gemini-2.0-flash-thinking-exp-1219:free,1712.1983431794547,274.4474302664798,x,J13
google/gemini-2.0-flash-thinking-exp:free,1697.090157744169,273.14110518060386,x,J12
deepseek/deepseek-r1:free,1691.6792143071414,271.504116401938,x,J9
deepseek/deepseek-r1-distill-llama-70b:free,1687.4037748625028,303.1734120046225,o,J4
nvidia/llama-3.1-nemotron-70b-instruct:free,1610.5310839325996,299.7991656792672,o,J6
google/learnlm-1.5-pro-experimental:free,1556.3766432071525,269.73536246182425,x,J16
gpt-4o,1549.5998914843708,306.1249651802235,o,J18
google/gemini-2.0-flash-exp:free,1529.751881620221,273.55208752662,o,J14
google/gemini-2.0-flash-lite-preview-02-05:free,1525.8423071411594,271.9321190561288,o,J10
google/gemini-2.0-pro-exp-02-05:free,1524.6788379446932,272.14109071928004,x,J11
meta-llama/llama-3.3-70b-instruct:free,1472.5658379384568,303.8563406146465,x,J5
gpt-3.5-turbo-0125,1433.6621942104723,303.8431261581488,o,J17
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1393.1754236346226,300.97042641549444,o,J2
cognitivecomputations/dolphin3.0-mistral-24b:free,1390.4845548604171,303.6155550323931,x,J1
mistralai/mistral-small-24b-instruct-2501:free,1316.0719400895357,303.3901638946605,x,J3
sophosympatheia/rogue-rose-103b-v0.2:free,1309.2974445604598,266.4420889138289,x,J8
qwen/qwen2.5-vl-72b-instruct:free,1259.161490217774,299.9712362881833,o,J7
