Model,Raiting,RD,player,nickname
google/gemini-2.0-flash-exp:free,1698.951291293401,291.8518463831687,o,J14
o3-mini,1698.9436856636703,291.8537059392916,x,J20
google/gemini-2.0-flash-thinking-exp-1219:free,1698.9436856636703,291.8537059392916,x,J13
meta-llama/llama-3.3-70b-instruct:free,1641.9868614942568,334.9149000802702,o,J5
gpt-4o,1640.4963156336505,335.2658792924851,o,J18
o1-mini,1601.1990985708871,292.32044015269213,o,J19
google/gemini-2.0-flash-thinking-exp:free,1600.0,292.32569442076004,x,J12
google/gemini-2.0-flash-lite-preview-02-05:free,1600.0,292.32569442076004,o,J10
google/gemini-exp-1206:free,1598.870479007736,292.76042480542566,x,J15
deepseek/deepseek-r1-distill-llama-70b:free,1569.5600651405634,335.5735843420234,o,J4
google/learnlm-1.5-pro-experimental:free,1506.2656682348918,292.7489349143929,o,J16
deepseek/deepseek-r1:free,1506.2656682348918,292.7489349143929,o,J9
google/gemini-2.0-pro-exp-02-05:free,1506.2581149832822,292.76042480542566,x,J11
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1502.5967445678386,336.15711970480794,o,J2
qwen/qwen2.5-vl-72b-instruct:free,1502.5967445678386,336.15711970480794,o,J7
cognitivecomputations/dolphin3.0-mistral-24b:free,1497.6193941821884,337.290039975747,x,J1
gpt-3.5-turbo-0125,1497.6193941821884,337.290039975747,x,J17
mistralai/mistral-small-24b-instruct-2501:free,1433.1714714771583,337.29003932609567,x,J3
sophosympatheia/rogue-rose-103b-v0.2:free,1402.07384810106,292.0356286712339,x,J8
nvidia/llama-3.1-nemotron-70b-instruct:free,1368.7235487721289,337.290039975747,x,J6
