Model,Raiting,RD,player,nickname
o3-mini,1823.3727957975725,270.2431528198604,o,J20
google/gemini-exp-1206:free,1817.7842614559167,268.3548467014932,x,J15
o1-mini,1780.3774760932604,269.5349405328379,x,J19
google/gemini-2.0-flash-thinking-exp:free,1775.1252240518966,267.7924241376932,o,J12
deepseek/deepseek-r1-distill-llama-70b:free,1688.619043577322,295.41887106450366,o,J4
google/gemini-2.0-flash-thinking-exp-1219:free,1676.3975103133296,269.86852414891496,o,J13
gpt-4o,1654.5502625409283,297.06436134467924,o,J18
nvidia/llama-3.1-nemotron-70b-instruct:free,1617.9833666022605,291.622403359803,x,J6
deepseek/deepseek-r1:free,1617.839566646978,266.75364902817125,x,J9
google/gemini-2.0-flash-exp:free,1615.9409862961645,266.8984490450961,o,J14
google/gemini-2.0-pro-exp-02-05:free,1526.2047921894866,263.3447094600683,o,J11
google/learnlm-1.5-pro-experimental:free,1477.9839042783371,264.25932910764266,x,J16
meta-llama/llama-3.3-70b-instruct:free,1474.2721535635576,294.0065750498683,o,J5
google/gemini-2.0-flash-lite-preview-02-05:free,1445.5755487541262,266.0081660305228,x,J10
gpt-3.5-turbo-0125,1432.163843384165,295.85910658454014,x,J17
sophosympatheia/rogue-rose-103b-v0.2:free,1404.044173606907,257.9970349551239,o,J8
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1394.676864924759,289.0059860788772,o,J2
qwen/qwen2.5-vl-72b-instruct:free,1364.1599212723868,290.69460089113176,x,J7
cognitivecomputations/dolphin3.0-mistral-24b:free,1271.2145485245794,296.8699495495571,x,J1
mistralai/mistral-small-24b-instruct-2501:free,1201.8719216138256,293.7857304009016,x,J3
