model,Derrota,Empate,Victoria,Total Partidas,Victorias con O,Victorias con X,Empates con O,Empates con X,Derrotas con O,Derrotas con X
amazon/nova-pro-v1,1,1,0,2,0,0,0,1,1,0
cognitivecomputations/dolphin3.0-mistral-24b,16,3,5,24,1,4,2,1,9,7
cognitivecomputations/dolphin3.0-r1-mistral-24b,9,2,13,24,3,10,2,0,7,2
deepseek/deepseek-prover-v2,1,1,0,2,0,0,0,1,1,0
deepseek/deepseek-r1,11,2,13,26,5,8,1,1,7,4
deepseek/deepseek-r1-distill-llama-70b,20,3,14,37,4,10,0,3,15,5
gemini-1.5-pro,1,0,0,1,0,0,0,0,0,1
gemini-2.0-flash,2,0,0,2,0,0,0,0,1,1
gemini-2.0-flash-lite,0,0,1,1,0,1,0,0,0,0
gemini-2.5-flash-preview-05-20,0,0,2,2,1,1,0,0,0,0
gemini-2.5-pro-preview-05-06,0,0,2,2,1,1,0,0,0,0
google/gemini-2.0-flash-exp,12,1,13,26,5,8,1,0,7,5
google/gemini-2.0-flash-lite-preview-02-05,17,1,14,32,4,10,1,0,12,5
google/gemini-2.0-flash-thinking-exp,13,2,29,44,11,18,1,1,9,4
google/gemini-2.0-flash-thinking-exp-1219,8,5,13,26,4,9,3,2,6,2
google/gemini-2.0-pro-exp-02-05,8,2,13,23,6,7,1,1,4,4
google/gemini-exp-1206,12,3,11,26,3,8,2,1,8,4
google/learnlm-1.5-pro-experimental,18,2,26,46,10,16,0,2,12,6
gpt-3.5-turbo-0125,13,1,14,28,5,9,1,0,8,5
gpt-4.1,1,1,0,2,0,0,0,1,1,0
gpt-4o,23,3,20,46,6,14,3,0,14,9
meta-llama/llama-3.3-70b-instruct,23,2,17,42,6,11,0,2,15,8
meta-llama/llama-4-maverick,0,0,1,1,1,0,0,0,0,0
mistralai/codestral-2501,2,0,0,2,0,0,0,0,1,1
mistralai/mistral-small-24b-instruct-2501,13,3,4,20,0,4,1,2,9,4
nvidia/llama-3.1-nemotron-70b-instruct,13,3,7,23,3,4,0,3,8,5
nvidia/llama-3.1-nemotron-ultra-253b-v1,1,0,0,1,0,0,0,0,1,0
nvidia/llama-3.3-nemotron-super-49b-v1,1,0,0,1,0,0,0,0,1,0
o1-mini,5,7,14,26,6,8,3,4,4,1
o3,0,1,1,2,0,1,1,0,0,0
o3-mini,4,9,15,28,5,10,6,3,3,1
o4-mini,0,1,1,2,0,1,1,0,0,0
qwen/qwen2.5-vl-72b-instruct,25,3,13,41,3,10,2,1,16,9
qwen/qwen3-235b-a22b,0,0,2,2,1,1,0,0,0,0
sophosympatheia/rogue-rose-103b-v0.2,12,1,7,20,2,5,0,1,8,4
x-ai/grok-2,0,0,1,1,0,1,0,0,0,0
x-ai/grok-3-beta,1,1,0,2,0,0,0,1,1,0
