id,id_match,player,move,valid,win,model,execution_time,timestamp,board
67dda8abd03d9114bf02fcc5,04dcda1f-067e-11f0-a9fc-005056c00003,x,"['mark', '1', '1']",1,0,google/gemini-2.0-flash-lite-preview-02-05:free,4.443909800000256,2025-03-21T17:58:03.332000,"[['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['control', 'o']]"
67dda8afd03d9114bf02fcc7,04dcda1f-067e-11f0-a9fc-005056c00003,o,"['mark', '3', '2']",1,0,cognitivecomputations/dolphin3.0-mistral-24b:free,1.8329571000012947,2025-03-21T17:58:07.738000,"[['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '3', '2', 'o'], ['control', 'x']]"
67dda8b4d03d9114bf02fcc9,04dcda1f-067e-11f0-a9fc-005056c00003,x,"['mark', '1', '2']",1,0,google/gemini-2.0-flash-lite-preview-02-05:free,2.472687399998904,2025-03-21T17:58:12.249000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '3', '2', 'o'], ['cell', '1', '2', 'x'], ['control', 'o']]"
67dda8bad03d9114bf02fccb,04dcda1f-067e-11f0-a9fc-005056c00003,o,"['mark', '2', '3']",1,0,cognitivecomputations/dolphin3.0-mistral-24b:free,2.2481822000008833,2025-03-21T17:58:18.776000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '3', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '2', '3', 'o'], ['control', 'x']]"
67dda8c0d03d9114bf02fccd,04dcda1f-067e-11f0-a9fc-005056c00003,x,"['mark', '1', '3']",1,1,google/gemini-2.0-flash-lite-preview-02-05:free,2.828112400000464,2025-03-21T17:58:24.520000,"[['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '3', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '2', '3', 'o'], ['cell', '1', '3', 'x'], ['control', 'o']]"
67dda8c5d03d9114bf02fccf,04dcda1f-067e-11f0-a9fc-005056c00003,o,['Not applicable'],0,1,cognitivecomputations/dolphin3.0-mistral-24b:free,2.2071254000002227,2025-03-21T17:58:29.455000,"[['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '3', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '2', '3', 'o'], ['cell', '1', '3', 'x'], ['control', 'o']]"
67dd9b1052f1bfa1a51a5399,e91da851-0675-11f0-a8d6-005056c00003,x,"['mark', '1', '1']",1,0,google/gemini-2.0-pro-exp-02-05:free,4.9976473999995505,2025-03-21T17:00:00.911000,"[['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '2', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['control', 'o']]"
67dd9b1f52f1bfa1a51a539b,e91da851-0675-11f0-a8d6-005056c00003,o,"['mark', '2', '2']",1,0,google/gemini-exp-1206:free,11.770230499998434,2025-03-21T17:00:15.525000,"[['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['control', 'x']]"
67dd9b2852f1bfa1a51a539d,e91da851-0675-11f0-a8d6-005056c00003,x,"['mark', '1', '2']",1,0,google/gemini-2.0-pro-exp-02-05:free,6.0798859000005905,2025-03-21T17:00:24.321000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['control', 'o']]"
67dd9b3252f1bfa1a51a539f,e91da851-0675-11f0-a8d6-005056c00003,o,"['mark', '3', '3']",1,0,google/gemini-exp-1206:free,7.180111300000135,2025-03-21T17:00:34.884000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '3', 'o'], ['control', 'x']]"
67dd9b4d52f1bfa1a51a53a1,e91da851-0675-11f0-a8d6-005056c00003,x,['None'],0,0,google/gemini-2.0-pro-exp-02-05:free,24.241483800000424,2025-03-21T17:01:01.784000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '3', 'o'], ['control', 'x']]"
67dd9b5452f1bfa1a51a53a3,e91da851-0675-11f0-a8d6-005056c00003,x,"[""The input 'None' is not a valid move or step since 'M' and 'N' must be numbers.""]",0,0,google/gemini-2.0-pro-exp-02-05:free,3.424910199999431,2025-03-21T17:01:08.769000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '3', 'o'], ['control', 'x']]"
67dd9b6152f1bfa1a51a53a5,e91da851-0675-11f0-a8d6-005056c00003,x,"['mark', '1', '3']",1,1,google/gemini-2.0-pro-exp-02-05:free,8.32858369999849,2025-03-21T17:01:21.172000,"[['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '3', 'o'], ['cell', '1', '3', 'x'], ['control', 'o']]"
67dd9b6552f1bfa1a51a53a7,e91da851-0675-11f0-a8d6-005056c00003,o,['None'],0,1,google/gemini-exp-1206:free,2.116573100000096,2025-03-21T17:01:25.803000,"[['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '1', '1', 'x'], ['cell', '2', '2', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '3', 'o'], ['cell', '1', '3', 'x'], ['control', 'o']]"
67dda1d5b64b0b2eff18b09d,f2c10bac-0679-11f0-a72b-005056c00003,x,"['mark', '2', '2']",1,0,google/gemini-2.0-flash-thinking-exp:free,3.698347499999727,2025-03-21T17:28:53.861000,"[['cell', '1', '1', 'b'], ['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '2', '2', 'x'], ['control', 'o']]"
67dda1dcb64b0b2eff18b09f,f2c10bac-0679-11f0-a72b-005056c00003,o,"['mark', '1', '1']",1,0,o3-mini,4.766034800000853,2025-03-21T17:29:00.919000,"[['cell', '1', '2', 'b'], ['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['control', 'x']]"
67dda1e7b64b0b2eff18b0a1,f2c10bac-0679-11f0-a72b-005056c00003,x,"['mark', '1', '2']",1,0,google/gemini-2.0-flash-thinking-exp:free,8.12856180000017,2025-03-21T17:29:11.855000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '2', 'b'], ['cell', '3', '3', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['control', 'o']]"
67dda1f2b64b0b2eff18b0a3,f2c10bac-0679-11f0-a72b-005056c00003,o,"['mark', '3', '2']",1,0,o3-mini,8.201758399998653,2025-03-21T17:29:22.470000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '3', '3', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '2', 'o'], ['control', 'x']]"
67dda208b64b0b2eff18b0a5,f2c10bac-0679-11f0-a72b-005056c00003,x,"['mark', '3', '3']",1,0,google/gemini-2.0-flash-thinking-exp:free,19.08014269999876,2025-03-21T17:29:44.264000,"[['cell', '1', '3', 'b'], ['cell', '2', '1', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '2', 'o'], ['cell', '3', '3', 'x'], ['control', 'o']]"
67dda220b64b0b2eff18b0a7,f2c10bac-0679-11f0-a72b-005056c00003,o,"['mark', '2', '1']",1,0,o3-mini,21.997179099998903,2025-03-21T17:30:08.600000,"[['cell', '1', '3', 'b'], ['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '2', 'o'], ['cell', '3', '3', 'x'], ['cell', '2', '1', 'o'], ['control', 'x']]"
67dda241b64b0b2eff18b0a9,f2c10bac-0679-11f0-a72b-005056c00003,x,"['mark', '1', '3']",1,0,google/gemini-2.0-flash-thinking-exp:free,30.363402900000438,2025-03-21T17:30:41.479000,"[['cell', '2', '3', 'b'], ['cell', '3', '1', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '2', 'o'], ['cell', '3', '3', 'x'], ['cell', '2', '1', 'o'], ['cell', '1', '3', 'x'], ['control', 'o']]"
67dda254b64b0b2eff18b0ab,f2c10bac-0679-11f0-a72b-005056c00003,o,"['mark', '2', '3']",1,0,o3-mini,15.84844239999984,2025-03-21T17:31:00.063000,"[['cell', '3', '1', 'b'], ['cell', '2', '2', 'x'], ['cell', '1', '1', 'o'], ['cell', '1', '2', 'x'], ['cell', '3', '2', 'o'], ['cell', '3', '3', 'x'], ['cell', '2', '1', 'o'], ['cell', '1', '3', 'x'], ['cell', '2', '3', 'o'], ['control', 'x']]"
