Model,Raiting,RD,player,nickname
o3-mini,1807.5456889965185,208.1022817273256,o,J20
o1-mini,1794.5375998826185,207.3071480744309,x,J19
deepseek/deepseek-r1-distill-llama-70b:free,1788.103058195331,231.67985563625115,o,J4
google/gemini-2.0-flash-thinking-exp:free,1765.5529203868537,216.62262711083437,x,J12
deepseek/deepseek-r1:free,1757.011756674428,213.51002634380131,x,J9
google/gemini-exp-1206:free,1755.4026140985866,208.00499525591044,o,J15
google/gemini-2.0-flash-thinking-exp-1219:free,1734.7797100395271,207.85047804108345,x,J13
nvidia/llama-3.1-nemotron-70b-instruct:free,1688.662492150901,236.4635463098239,o,J6
google/learnlm-1.5-pro-experimental:free,1576.1045934583617,210.6592289923816,x,J16
meta-llama/llama-3.3-70b-instruct:free,1483.8540241246028,231.46390904120148,x,J5
google/gemini-2.0-flash-exp:free,1468.33089182161,211.35699036775992,o,J14
google/gemini-2.0-pro-exp-02-05:free,1457.4783651769658,216.2461955511492,x,J11
gpt-4o,1437.940986471203,232.55303321757745,o,J18
google/gemini-2.0-flash-lite-preview-02-05:free,1436.4709511415704,216.1370976414616,o,J10
mistralai/mistral-small-24b-instruct-2501:free,1421.9943101773756,239.08568031015645,x,J3
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1369.2792538503063,228.01420574957305,o,J2
gpt-3.5-turbo-0125,1369.2312609330595,230.48197536559812,o,J17
sophosympatheia/rogue-rose-103b-v0.2:free,1360.5543630700608,213.7525343377624,x,J8
cognitivecomputations/dolphin3.0-mistral-24b:free,1331.329463797921,233.62864895344933,x,J1
qwen/qwen2.5-vl-72b-instruct:free,1286.594015152688,221.4180814463559,o,J7
