Model,Raiting,RD,player,nickname
o3-mini,1823.3727957975725,279.93531237634795,o,J20
o1-mini,1780.3774760932604,278.64189523122224,o,J19
google/gemini-exp-1206:free,1780.2703786002776,278.671830386781,x,J15
google/gemini-2.0-flash-thinking-exp-1219:free,1712.1983431794547,279.40535816134275,x,J13
gpt-4o,1651.858153049663,314.4516702135001,x,J18
google/gemini-2.0-flash-thinking-exp:free,1613.1289477013986,279.2817567787982,o,J12
google/gemini-2.0-flash-lite-preview-02-05:free,1607.144108029635,277.49905819527146,o,J10
deepseek/deepseek-r1:free,1606.9577749057555,277.8040049130251,o,J9
google/gemini-2.0-pro-exp-02-05:free,1606.2571442252558,277.9335238772797,x,J11
deepseek/deepseek-r1-distill-llama-70b:free,1581.3596522578716,312.24177079117374,x,J4
google/gemini-2.0-flash-exp:free,1574.694798843161,280.2858683017152,x,J14
google/learnlm-1.5-pro-experimental:free,1513.1307527704523,276.2026802631453,x,J16
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1506.777563142736,312.81232636395066,o,J2
nvidia/llama-3.1-nemotron-70b-instruct:free,1498.1500240970431,310.169933945652,o,J6
gpt-3.5-turbo-0125,1493.7313786399798,315.5634843905725,x,J17
meta-llama/llama-3.3-70b-instruct:free,1413.5056994114575,314.80853712592057,o,J5
cognitivecomputations/dolphin3.0-mistral-24b:free,1380.5327168664776,314.5711706143608,x,J1
mistralai/mistral-small-24b-instruct-2501:free,1317.993239596039,313.97469763519507,o,J3
sophosympatheia/rogue-rose-103b-v0.2:free,1310.7789671343612,274.90820818683625,o,J8
qwen/qwen2.5-vl-72b-instruct:free,1256.7239762289696,312.6389504014682,x,J7
