row_number,id_match,model,nickname,player,num_invalidos,num_valid_plays,avg_execution_time,win_status,old_raiting,old_RD,new_raiting,new_RD,appearance_order
11,4f5f3100-fdbf-11ef-95b5-005056c00003,o3-mini,J20,x,0,3,9.203458099994654,1.0,1698.9436856636703,291.8537059392916,1829.4205371248424,248.57555819191774,1
17,75223d2b-ff6d-11ef-a7a1-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,x,0,3,6.855811666736069,1.0,1698.9436856636703,291.8537059392916,1811.0976653334003,253.5156500198481,1
1,1f8e24e5-ff6e-11ef-8993-005056c00003,o1-mini,J19,x,0,4,10.525771874992644,1.0,1601.1990985708871,292.32044015269213,1738.1903991592608,253.57260126420292,1
23,ad52faeb-ff5f-11ef-b31e-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,x,0,3,7.213919733340542,1.0,1600.0,292.32569442076004,1730.7361639133533,248.91774403465064,1
14,5bb8f43d-ff6c-11ef-9380-005056c00003,google/gemini-exp-1206:free,J15,o,1,3,2.4756710666697472,1.0,1598.870479007736,292.76042480542566,1718.481779889215,253.82586022945773,1
5,383254fe-fdce-11ef-87e7-005056c00003,cognitivecomputations/dolphin3.0-r1-mistral-24b:free,J2,x,0,3,17.3673199666664,1.0,1502.5967445678386,336.15711970480794,1655.780994880945,280.59483474799,1
28,c2208148-ff63-11ef-9415-005056c00003,deepseek/deepseek-r1:free,J9,o,0,3,30.950597299961373,1.0,1506.2656682348918,292.7489349143929,1637.2363513032676,249.22435052704535,1
7,383a38b3-ff64-11ef-9c58-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,x,0,4,6.059398524987046,1.0,1506.2581149832822,292.76042480542566,1632.1150666482697,253.78052182971317,1
3,26e4c037-ff68-11ef-b445-005056c00003,mistralai/mistral-small-24b-instruct-2501:free,J3,x,1,3,3.557730866673713,1.0,1433.1714714771583,337.29003932609567,1609.0165319879347,281.9310986893499,1
12,4f5f3100-fdbf-11ef-95b5-005056c00003,google/gemini-2.0-flash-exp:free,J14,o,0,2,4.2711609666973045,0.0,1698.951291293401,291.8518463831687,1568.4758152575419,248.57461368952025,1
9,45a7494a-ff66-11ef-92d4-005056c00003,sophosympatheia/rogue-rose-103b-v0.2:free,J8,x,0,4,7.205455550021725,1.0,1402.07384810106,292.0356286712339,1520.1268772784479,253.55497078970902,1
18,75223d2b-ff6d-11ef-a7a1-005056c00003,gpt-4o,J18,o,1,2,2.017005733291929,0.0,1640.4963156336505,335.2658792924851,1501.0111298353954,274.4157228042301,1
2,1f8e24e5-ff6e-11ef-8993-005056c00003,meta-llama/llama-3.3-70b-instruct:free,J5,o,0,3,2.7245953999226917,0.0,1641.9868614942568,334.9149000802702,1470.0538128029832,273.93698827704264,1
24,ad52faeb-ff5f-11ef-b31e-005056c00003,google/gemini-2.0-flash-lite-preview-02-05:free,J10,o,0,2,2.832247599959373,0.0,1600.0,292.32569442076004,1469.2638360866467,248.91774403465064,1
13,5bb8f43d-ff6c-11ef-9380-005056c00003,deepseek/deepseek-r1-distill-llama-70b:free,J4,x,3,3,13.507183525012804,0.0,1569.5600651405634,335.5735843420234,1420.8159681388688,274.1965358984208,1
27,c2208148-ff63-11ef-9415-005056c00003,google/learnlm-1.5-pro-experimental:free,J16,x,0,3,3.622009599959711,0.0,1506.2656682348918,292.7489349143929,1375.294985166516,249.22435052704535,1
8,383a38b3-ff64-11ef-9c58-005056c00003,qwen/qwen2.5-vl-72b-instruct:free,J7,o,0,3,8.274309233335467,0.0,1502.5967445678386,336.15711970480794,1345.1248430315613,274.3416862350548,1
6,383254fe-fdce-11ef-87e7-005056c00003,gpt-3.5-turbo-0125,J17,o,0,2,1.3146579000167549,0.0,1497.6193941821884,337.290039975747,1343.6127881919504,281.0972627588908,1
4,26e4c037-ff68-11ef-b445-005056c00003,cognitivecomputations/dolphin3.0-mistral-24b:free,J1,o,2,2,3.30169074999867,0.0,1497.6193941821884,337.290039975747,1321.7743329493392,281.9310991071648,1
10,45a7494a-ff66-11ef-92d4-005056c00003,nvidia/llama-3.1-nemotron-70b-instruct:free,J6,o,0,3,6.16068467500736,0.0,1368.7235487721289,337.290039975747,1220.2202683012638,275.0752823979956,1
40,e915826f-ff6e-11ef-802d-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,o,0,3,4.143441433358627,1.0,1811.0976653334003,253.5156500198481,1859.2405520213972,231.7391292051532,2
32,c38c5546-ff6d-11ef-9da7-005056c00003,o1-mini,J19,o,0,4,9.099075424979674,1.0,1738.1903991592608,253.57260126420292,1792.7122820223885,229.7388151513161,2
38,e0b1c892-ff6c-11ef-933b-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,o,0,4,6.698297825001646,1.0,1730.7361639133533,248.91774403465064,1784.3755056601326,224.8600522251235,2
34,c487ccca-fdce-11ef-bde8-005056c00003,o3-mini,J20,o,0,4,11.450614849993144,0.5,1829.4205371248424,248.57555819191774,1769.0629306468265,224.5671935787219,2
35,d326afbc-ff62-11ef-8dd1-005056c00003,google/gemini-exp-1206:free,J15,x,0,4,4.983437849994516,1.0,1718.481779889215,253.82586022945773,1768.5519976225014,231.35885599858491,2
29,c3189110-ff6b-11ef-8d4d-005056c00003,deepseek/deepseek-r1:free,J9,x,0,4,37.70528547497816,1.0,1637.2363513032676,249.22435052704535,1690.9113564664444,225.12226428411665,2
20,8d75ab6d-ff68-11ef-a53c-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,o,0,4,5.152498524985276,1.0,1632.1150666482697,253.78052182971317,1683.7851319332324,230.81242252194764,2
