Model,Raiting,RD,player,nickname
o3-mini,2025.84047448741,250.6598609674865,x,J20
o1-mini,1819.2817773769957,250.96370146057416,o,J19
google/gemini-2.0-flash-thinking-exp:free,1786.345970526461,249.22691109796148,o,J12
google/gemini-2.0-flash-thinking-exp-1219:free,1746.4635263767157,248.46124359021,x,J13
google/gemini-2.0-pro-exp-02-05:free,1738.0982564416222,239.8869921528719,o,J11
deepseek/deepseek-r1:free,1730.1946587310003,245.08175659476643,x,J9
google/gemini-2.0-flash-exp:free,1717.509004748907,237.74309729428063,o,J14
google/learnlm-1.5-pro-experimental:free,1693.3617201732486,237.44584024636072,o,J16
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1651.341974095977,236.7532757530349,x,J2
deepseek/deepseek-r1-distill-llama-70b:free,1629.027716699703,267.36465779899214,x,J4
google/gemini-exp-1206:free,1618.3292820383942,246.91549300938036,o,J15
gpt-3.5-turbo-0125,1553.42279462492,258.2983964468968,x,J17
gpt-4o,1547.8756423101315,265.3560957384421,o,J18
google/gemini-2.0-flash-lite-preview-02-05:free,1472.3164053116438,235.49497902281576,x,J10
meta-llama/llama-3.3-70b-instruct:free,1436.4192863833111,258.054046601916,x,J5
nvidia/llama-3.1-nemotron-70b-instruct:free,1352.322675212249,257.3864767800134,x,J6
qwen/qwen2.5-vl-72b-instruct:free,1318.1983440417216,250.4226690195323,o,J7
sophosympatheia/rogue-rose-103b-v0.2:free,1301.574457773674,231.5158608314118,o,J8
cognitivecomputations/dolphin3.0-mistral-24b:free,1028.771553782634,260.6819106670319,x,J1
mistralai/mistral-small-24b-instruct-2501:free,989.7913418767826,259.4597493115819,o,J3
