Model,Raiting,RD,nickname
cognitivecomputations/dolphin3.0-mistral-24b:free,1500,350,J1
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1500,350,J2
mistralai/mistral-small-24b-instruct-2501:free,1500,350,J3
deepseek/deepseek-r1-distill-llama-70b:free,1500,350,J4
meta-llama/llama-3.3-70b-instruct:free,1500,350,J5
nvidia/llama-3.1-nemotron-70b-instruct:free,1500,350,J6
qwen/qwen2.5-vl-72b-instruct:free,1500,350,J7
sophosympatheia/rogue-rose-103b-v0.2:free,1500,300,J8
deepseek/deepseek-r1:free,1600,300,J9
deepseek/deepseek-chat:free,1600,300,JX
google/gemini-2.0-flash-lite-preview-02-05:free,1600,300,J10
google/gemini-2.0-pro-exp-02-05:free,1600,300,J11
google/gemini-2.0-flash-thinking-exp:free,1600,300,J12
google/gemini-2.0-flash-thinking-exp-1219:free,1600,300,J13
google/gemini-2.0-flash-exp:free,1600,300,J14
google/gemini-exp-1206:free,1600,300,J15
google/learnlm-1.5-pro-experimental:free,1600,300,J16
gpt-3.5-turbo-0125,1500,350,J17
gpt-4o,1500,350,J18
o1-mini,1600,300,J19
o3-mini,1600,300,J20
